n,clip,cond,kind,seed,score,prompt,penisRest,penisFirst,penisMotion,hand,buttocks,between,penisBack,join,likeness,notes,file,ratedAt
1,C0-P1-1351805226,C0,at rest,1351805226,5,yes,right,,,,,,,,yes,,nsfw-C0-P1-1351805226_00001_.mp4,2026-09-22T11:08:06Z
2,C0-P1-20260919,C0,at rest,20260919,5,yes,right,,,,,,,,yes,,nsfw-C0-P1-20260919_00001_.mp4,2026-09-22T11:08:06Z
3,C0-P2-1351805226,C0,solo,1351805226,2,yes,,right,wrong,right,,,,,yes,,nsfw-C0-P2-1351805226_00001_.mp4,2026-09-22T11:08:06Z
4,C0-P2-20260919,C0,solo,20260919,2,yes,,right,wrong,right,,,,,yes,,nsfw-C0-P2-20260919_00001_.mp4,2026-09-22T11:08:06Z
5,C0-P2-424242,C0,solo,424242,2,yes,,right,wrong,right,,,,,yes,,nsfw-C0-P2-424242_00001_.mp4,2026-09-22T11:08:06Z
6,C0-P2-8675309,C0,solo,8675309,2,yes,,right,wrong,right,,,,,yes,,nsfw-C0-P2-8675309_00001_.mp4,2026-09-22T11:08:06Z
7,C0-P3-31337,C0,buttocks,31337,2,yes,,,,,right,wrong,right,,yes,,nsfw-C0-P3-31337_00001_.mp4,2026-09-22T11:08:06Z
8,C0-P3-424242,C0,buttocks,424242,4,yes,,,,,right,right,right,,yes,,nsfw-C0-P3-424242_00001_.mp4,2026-09-22T11:08:06Z
9,C0-P3-8675309,C0,buttocks,8675309,5,yes,,,,,right,right,right,,yes,,nsfw-C0-P3-8675309_00001_.mp4,2026-09-22T11:08:06Z
10,C1-P1-1351805226,C1,at rest,1351805226,5,yes,right,,,,,,,,yes,,nsfw-C1-P1-1351805226_00001_.mp4,2026-09-22T11:08:06Z
11,C1-P1-20260919,C1,at rest,20260919,5,yes,right,,,,,,,,yes,,nsfw-C1-P1-20260919_00001_.mp4,2026-09-22T11:08:06Z
12,C1-P2-1351805226,C1,solo,1351805226,3,yes,,right,wrong,minor,,,,,yes,,nsfw-C1-P2-1351805226_00001_.mp4,2026-09-22T11:08:06Z
13,C1-P2-20260919,C1,solo,20260919,5,yes,,right,right,right,,,,,yes,,nsfw-C1-P2-20260919_00001_.mp4,2026-09-22T11:08:06Z
14,C1-P2-424242,C1,solo,424242,3,yes,,right,minor,right,,,,,yes,,nsfw-C1-P2-424242_00001_.mp4,2026-09-22T11:08:06Z
15,C1-P2-777,C1,solo,777,4,yes,,right,right,right,,,,,yes,,nsfw-C1-P2-777_00001_.mp4,2026-09-22T11:08:06Z
16,C1-P2-8675309,C1,solo,8675309,2,yes,,minor,minor,minor,,,,,yes,,nsfw-C1-P2-8675309_00001_.mp4,2026-09-22T11:08:06Z
17,C1-P3-31337,C1,buttocks,31337,4,yes,,,,,right,right,right,,yes,,nsfw-C1-P3-31337_00001_.mp4,2026-09-22T11:08:06Z
18,C1-P3-424242,C1,buttocks,424242,2,yes,,,,,right,wrong,minor,,yes,,nsfw-C1-P3-424242_00001_.mp4,2026-09-22T11:08:06Z
19,C1-P3-8675309,C1,buttocks,8675309,4,yes,,,,,right,right,right,,yes,,nsfw-C1-P3-8675309_00001_.mp4,2026-09-22T11:08:06Z
20,C2v1-P1-1351805226,C2v1,at rest,1351805226,5,yes,right,,,,,,,,yes,,nsfw-C2v1-P1-1351805226_00001_.mp4,2026-09-22T11:08:06Z
21,C2v1-P1-20260919,C2v1,at rest,20260919,2,partly,minor,,,,,,,,yes,,nsfw-C2v1-P1-20260919_00001_.mp4,2026-09-22T11:08:06Z
